Hugo_Symbol	Variant_type	Tumour
ACOX3	Missense	COAD
ACVR1C	Missense	COAD
ACVR2A	Missense	COAD
ADAM10	Missense	COAD
ADAM12	Missense	COAD
ADAM22	Missense	COAD
ADAM8	Missense	COAD
ADAMTS18	Missense	COAD
ADAMTS3	Missense	COAD
ADARB1	Missense	COAD
ADCY1	Missense	COAD
ADCY3	Missense	COAD
ADCY6	Missense	COAD
ADGB	Missense	COAD
ADGRB3	Missense	COAD
ADGRL1	Missense	COAD
ADGRL3	Missense	COAD
ADGRL4	Missense	COAD
ADRBK1	Missense	COAD
AGAP2	Missense	COAD
AGL	Missense	COAD
AHCTF1	Missense	COAD
AHCYL2	Missense	COAD
AIM1L	Missense	COAD
ALAS2	Missense	COAD
ALS2	Missense	COAD
ALS2CL	Missense	COAD
ANKEF1	Missense	COAD
ANKH	Missense	COAD
ANKRD13A	Missense	COAD
ANKRD44	Missense	COAD
ANKS1A	Missense	COAD
ANO3	Missense	COAD
ANXA6	Missense	COAD
APBB1IP	Missense	COAD
ARFGEF1	Missense	COAD
ARHGAP20	Missense	COAD
ARHGAP21	Missense	COAD
ARHGAP23	Missense	COAD
ARHGAP31	Missense	COAD
ARHGAP5	Missense	COAD
ARHGEF2	Missense	COAD
ARID2	Missense	COAD
ARNTL	Missense	COAD
ARSK	Missense	COAD
ASAP2	Missense	COAD
ASCC3	Missense	COAD
ATCAY	Missense	COAD
ATIC	Missense	COAD
ATM	Missense	COAD
ATP10B	Missense	COAD
ATP13A5	Missense	COAD
ATP1A2	Missense	COAD
ATP2A2	Missense	COAD
ATP2B3	Missense	COAD
ATP6V0A4	Missense	COAD
ATP7B	Missense	COAD
ATP8B4	Missense	COAD
AVPR1B	Missense	COAD
AXIN2	Missense	COAD
AXL	Missense	COAD
B4GALNT1	Missense	COAD
BACE2	Missense	COAD
BAIAP2L1	Missense	COAD
BBS2	Missense	COAD
BCAS3	Missense	COAD
BMP7	Missense	COAD
BMPR2	Missense	COAD
BNC1	Missense	COAD
BPIFB1	Missense	COAD
BPIFB2	Missense	COAD
BRAF	Missense	COAD
BRCA2	Missense	COAD
BRD1	Missense	COAD
BRF1	Missense	COAD
BRINP3	Missense	COAD
BSX	Missense	COAD
C8B	Missense	COAD
C8orf34	Missense	COAD
C9orf41	Missense	COAD
CACNA1B	Missense	COAD
CACNA1C	Missense	COAD
CACNA1G	Missense	COAD
CACNA1H	Missense	COAD
CACNA1S	Missense	COAD
CASC5	Missense	COAD
CASZ1	Missense	COAD
CBX8	Missense	COAD
CCDC158	Missense	COAD
CCDC22	Missense	COAD
CCNL1	Missense	COAD
CD244	Missense	COAD
CDC25B	Missense	COAD
CDH10	Missense	COAD
CDH17	Missense	COAD
CDH19	Missense	COAD
CDH6	Missense	COAD
CDHR1	Missense	COAD
CDK13	Missense	COAD
CDK19	Missense	COAD
CELSR1	Missense	COAD
CELSR2	Missense	COAD
CEP170	Missense	COAD
CEP63	Missense	COAD
CFAP69	Missense	COAD
CFAP70	Missense	COAD
CHD4	Missense	COAD
CHD6	Missense	COAD
CHD8	Missense	COAD
CHUK	Missense	COAD
CKAP5	Missense	COAD
CLCN2	Missense	COAD
CLCN7	Missense	COAD
CLIP4	Missense	COAD
CLPB	Missense	COAD
CMAS	Missense	COAD
CNOT1	Missense	COAD
COL13A1	Missense	COAD
COL14A1	Missense	COAD
COL24A1	Missense	COAD
COPB2	Missense	COAD
COPS6	Missense	COAD
CORO2B	Missense	COAD
CP	Missense	COAD
CPD	Missense	COAD
CPEB1	Missense	COAD
CPNE9	Missense	COAD
CPZ	Missense	COAD
CRYBG3	Missense	COAD
CSRP2BP	Missense	COAD
CTBP1	Missense	COAD
CTDP1	Missense	COAD
CTNNA1	Missense	COAD
CTNNA2	Missense	COAD
CTNNB1	Missense	COAD
CTR9	Missense	COAD
CTTNBP2	Missense	COAD
CWC27	Missense	COAD
CXorf58	Missense	COAD
CYP26B1	Missense	COAD
CYP3A5	Missense	COAD
CYP4F2	Missense	COAD
CYP7B1	Missense	COAD
DACH2	Missense	COAD
DCHS1	Missense	COAD
DDHD2	Missense	COAD
DDX11	Missense	COAD
DDX24	Missense	COAD
DDX51	Missense	COAD
DDX60L	Missense	COAD
DECR1	Missense	COAD
DENND2C	Missense	COAD
DENND5A	Missense	COAD
DEPDC5	Missense	COAD
DFNB31	Missense	COAD
DGKD	Missense	COAD
DHX30	Missense	COAD
DHX34	Missense	COAD
DHX9	Missense	COAD
DIS3	Missense	COAD
DIS3L2	Missense	COAD
DLG5	Missense	COAD
DLGAP1	Missense	COAD
DNER	Missense	COAD
DNTTIP1	Missense	COAD
DOCK3	Missense	COAD
DOCK5	Missense	COAD
DOCK6	Missense	COAD
DPP6	Missense	COAD
DPYS	Missense	COAD
DPYSL2	Missense	COAD
DPYSL5	Missense	COAD
DSG1	Missense	COAD
DSTYK	Missense	COAD
DTNB	Missense	COAD
ECE1	Missense	COAD
EDEM1	Missense	COAD
EDIL3	Missense	COAD
EFCAB5	Missense	COAD
EHBP1	Missense	COAD
EHD4	Missense	COAD
ELMO1	Missense	COAD
ELMO3	Missense	COAD
EML6	Missense	COAD
ENO4	Missense	COAD
ENOX2	Missense	COAD
EPB41L2	Missense	COAD
EPB41L3	Missense	COAD
EPB41L5	Missense	COAD
EPG5	Missense	COAD
EPHA10	Missense	COAD
EPHA2	Missense	COAD
EPHA3	Missense	COAD
EPHA4	Missense	COAD
EPRS	Missense	COAD
EPS15	Missense	COAD
EPS8L1	Missense	COAD
ERBB3	Missense	COAD
ERCC6	Missense	COAD
ERICH3	Missense	COAD
ETAA1	Missense	COAD
ETNPPL	Missense	COAD
ETV6	Missense	COAD
EXT1	Missense	COAD
EZH1	Missense	COAD
FADS3	Missense	COAD
FAM135B	Missense	COAD
FAM171A2	Missense	COAD
FAM179B	Missense	COAD
FAM184A	Missense	COAD
FAM188B	Missense	COAD
FAM208A	Missense	COAD
FAM46B	Missense	COAD
FANCG	Missense	COAD
FAP	Missense	COAD
FASN	Missense	COAD
FASTKD3	Missense	COAD
FBN1	Missense	COAD
FBXL20	Missense	COAD
FBXL5	Missense	COAD
FBXO11	Missense	COAD
FBXW7	Missense	COAD
FHAD1	Missense	COAD
FHL5	Missense	COAD
FILIP1	Missense	COAD
FLII	Missense	COAD
FLT4	Missense	COAD
FNBP4	Missense	COAD
FNIP1	Missense	COAD
FNTA	Missense	COAD
FOXN1	Missense	COAD
FOXO4	Missense	COAD
FRMPD3	Missense	COAD
FRY	Missense	COAD
FSTL5	Missense	COAD
FUK	Missense	COAD
FYN	Missense	COAD
FZR1	Missense	COAD
G2E3	Missense	COAD
GABRA5	Missense	COAD
GABRB3	Missense	COAD
GABRG1	Missense	COAD
GABRG3	Missense	COAD
GABRQ	Missense	COAD
GAREM	Missense	COAD
GAREML	Missense	COAD
GBA2	Missense	COAD
GFM1	Missense	COAD
GGA2	Missense	COAD
GGCX	Missense	COAD
GLE1	Missense	COAD
GLP2R	Missense	COAD
GNL3	Missense	COAD
GPR162	Missense	COAD
GRIA4	Missense	COAD
GRID2	Missense	COAD
GRIK5	Missense	COAD
GRIN2B	Missense	COAD
GRIN3A	Missense	COAD
GRM5	Missense	COAD
GRM7	Missense	COAD
GTF3C1	Missense	COAD
GUCY1B3	Missense	COAD
GUCY2D	Missense	COAD
GUSB	Missense	COAD
GZF1	Missense	COAD
HADHA	Missense	COAD
HCN1	Missense	COAD
HDAC6	Missense	COAD
HECA	Missense	COAD
HEPHL1	Missense	COAD
HERC5	Missense	COAD
HFE2	Missense	COAD
HGF	Missense	COAD
HIRA	Missense	COAD
HIVEP1	Missense	COAD
HK2	Missense	COAD
HLTF	Missense	COAD
IARS2	Missense	COAD
ICAM5	Missense	COAD
IFT172	Missense	COAD
IGDCC3	Missense	COAD
IGF1R	Missense	COAD
IGF2BP1	Missense	COAD
IGF2R	Missense	COAD
IKZF2	Missense	COAD
IKZF4	Missense	COAD
INPP5D	Missense	COAD
INPP5F	Missense	COAD
INSRR	Missense	COAD
INTS8	Missense	COAD
IQGAP3	Missense	COAD
IRF2	Missense	COAD
ISL1	Missense	COAD
ITGA1	Missense	COAD
ITGB5	Missense	COAD
ITIH2	Missense	COAD
ITIH6	Missense	COAD
ITK	Missense	COAD
ITPR2	Missense	COAD
JAG1	Missense	COAD
JPH3	Missense	COAD
KALRN	Missense	COAD
KCNB1	Missense	COAD
KCNB2	Missense	COAD
KCNC2	Missense	COAD
KCNC3	Missense	COAD
KCNJ3	Missense	COAD
KCNJ9	Missense	COAD
KCNMA1	Missense	COAD
KCNQ2	Missense	COAD
KCNQ3	Missense	COAD
KCNQ4	Missense	COAD
KDM2A	Missense	COAD
KDM2B	Missense	COAD
KDM5B	Missense	COAD
KDR	Missense	COAD
KHSRP	Missense	COAD
KIAA0391	Missense	COAD
KIAA0430	Missense	COAD
KIAA0753	Missense	COAD
KIAA1467	Missense	COAD
KIAA1549L	Missense	COAD
KIAA1841	Missense	COAD
KIF13A	Missense	COAD
KIF13B	Missense	COAD
KIF14	Missense	COAD
KIF21A	Missense	COAD
KIF26A	Missense	COAD
KIF5A	Missense	COAD
KIF7	Missense	COAD
KPNA4	Missense	COAD
KRAS	Missense	COAD
LAMB1	Missense	COAD
LAMC2	Missense	COAD
LARGE	Missense	COAD
LARP1	Missense	COAD
LENG8	Missense	COAD
LHX5	Missense	COAD
LIN9	Missense	COAD
LIPG	Missense	COAD
LMO7	Missense	COAD
LMTK2	Missense	COAD
LONRF2	Missense	COAD
LOXHD1	Missense	COAD
LOXL4	Missense	COAD
LPPR4	Missense	COAD
LRCH2	Missense	COAD
LRFN5	Missense	COAD
LRP4	Missense	COAD
LRRC16A	Missense	COAD
LRRC47	Missense	COAD
LRRK1	Missense	COAD
LSAMP	Missense	COAD
LTBP2	Missense	COAD
LUZP1	Missense	COAD
LVRN	Missense	COAD
LYN	Missense	COAD
LZTR1	Missense	COAD
MAGEB18	Missense	COAD
MAGI1	Missense	COAD
MALRD1	Missense	COAD
MAN1A2	Missense	COAD
MAP2	Missense	COAD
MAP2K1	Missense	COAD
MAP3K1	Missense	COAD
MAP3K4	Missense	COAD
MAP3K5	Missense	COAD
MAPK8IP3	Missense	COAD
MARK3	Missense	COAD
MAST1	Missense	COAD
MCOLN3	Missense	COAD
MDGA2	Missense	COAD
ME1	Missense	COAD
MED13	Missense	COAD
MED14	Missense	COAD
MED23	Missense	COAD
MGAM	Missense	COAD
MIA3	Missense	COAD
MICAL2	Missense	COAD
MINK1	Missense	COAD
MIOS	Missense	COAD
MIP	Missense	COAD
MLK4	Missense	COAD
MMP8	Missense	COAD
MMP9	Missense	COAD
MOCOS	Missense	COAD
MON2	Missense	COAD
MORC3	Missense	COAD
MPO	Missense	COAD
MSL3	Missense	COAD
MTA1	Missense	COAD
MTA2	Missense	COAD
MTMR4	Missense	COAD
MTOR	Missense	COAD
MTR	Missense	COAD
MYF5	Missense	COAD
MYH15	Missense	COAD
MYH2	Missense	COAD
MYH3	Missense	COAD
MYH7B	Missense	COAD
MYO1G	Missense	COAD
MYO9A	Missense	COAD
MYOM1	Missense	COAD
MYPN	Missense	COAD
NAA16	Missense	COAD
NAB1	Missense	COAD
NAB2	Missense	COAD
NBEA	Missense	COAD
NDST3	Missense	COAD
NEDD9	Missense	COAD
NEK8	Missense	COAD
NEXN	Missense	COAD
NFASC	Missense	COAD
NFATC1	Missense	COAD
NFS1	Missense	COAD
NID2	Missense	COAD
NLGN3	Missense	COAD
NOL4	Missense	COAD
NOTCH1	Missense	COAD
NOTCH2	Missense	COAD
NPAS4	Missense	COAD
NPR2	Missense	COAD
NPTX2	Missense	COAD
NR4A2	Missense	COAD
NRBP1	Missense	COAD
NRCAM	Missense	COAD
NRK	Missense	COAD
NTRK3	Missense	COAD
NUP205	Missense	COAD
NUP54	Missense	COAD
OAS2	Missense	COAD
OGDH	Missense	COAD
ONECUT1	Missense	COAD
OPLAH	Missense	COAD
OSBPL2	Missense	COAD
OTUD7A	Missense	COAD
OTUD7B	Missense	COAD
PACSIN2	Missense	COAD
PANK3	Missense	COAD
PAXBP1	Missense	COAD
PCDH12	Missense	COAD
PCDHAC1	Missense	COAD
PCSK1	Missense	COAD
PCSK7	Missense	COAD
PDE2A	Missense	COAD
PDE6A	Missense	COAD
PDE8B	Missense	COAD
PDGFRB	Missense	COAD
PDS5A	Missense	COAD
PFKP	Missense	COAD
PHIP	Missense	COAD
PHLPP1	Missense	COAD
PIAS1	Missense	COAD
PIAS4	Missense	COAD
PIGO	Missense	COAD
PIK3CA	Missense	COAD
PIK3CD	Missense	COAD
PINK1	Missense	COAD
PITPNM1	Missense	COAD
PKD2	Missense	COAD
PKN2	Missense	COAD
PKP2	Missense	COAD
PLA2G4A	Missense	COAD
PLCG2	Missense	COAD
PLCH1	Missense	COAD
PLEKHH2	Missense	COAD
PLK1	Missense	COAD
PLSCR5	Missense	COAD
PLXNA1	Missense	COAD
POLE	Missense	COAD
POLH	Missense	COAD
POLQ	Missense	COAD
POLR1A	Missense	COAD
POLRMT	Missense	COAD
PON1	Missense	COAD
PON3	Missense	COAD
PPAT	Missense	COAD
PPFIA2	Missense	COAD
PPP1R13B	Missense	COAD
PPP1R15B	Missense	COAD
PPP1R3A	Missense	COAD
PPP2R1A	Missense	COAD
PREX1	Missense	COAD
PRKAA2	Missense	COAD
PRKD1	Missense	COAD
PRMT8	Missense	COAD
PRPF18	Missense	COAD
PRPF3	Missense	COAD
PRPF6	Missense	COAD
PRRX1	Missense	COAD
PSKH1	Missense	COAD
PTPN3	Missense	COAD
PTPRN	Missense	COAD
PTPRN2	Missense	COAD
PTPRS	Missense	COAD
PXDN	Missense	COAD
QRICH2	Missense	COAD
RANBP2	Missense	COAD
RANBP9	Missense	COAD
RASA1	Missense	COAD
RASGRF2	Missense	COAD
RELA	Missense	COAD
RELN	Missense	COAD
RFX6	Missense	COAD
RGS14	Missense	COAD
RGS22	Missense	COAD
RGS7	Missense	COAD
RIMS1	Missense	COAD
RPA1	Missense	COAD
RPIA	Missense	COAD
RPS6KC1	Missense	COAD
RPTOR	Missense	COAD
RSPH4A	Missense	COAD
RTN1	Missense	COAD
SBNO2	Missense	COAD
SBSN	Missense	COAD
SCAF11	Missense	COAD
SCIN	Missense	COAD
SCUBE3	Missense	COAD
SDK1	Missense	COAD
SEC24D	Missense	COAD
SEMA3E	Missense	COAD
SEMA3G	Missense	COAD
SETBP1	Missense	COAD
SETDB1	Missense	COAD
SF3B1	Missense	COAD
SFRP4	Missense	COAD
SHF	Missense	COAD
SHOX	Missense	COAD
SLC11A1	Missense	COAD
SLC12A5	Missense	COAD
SLC13A3	Missense	COAD
SLC26A3	Missense	COAD
SLC26A5	Missense	COAD
SLC28A3	Missense	COAD
SLC30A9	Missense	COAD
SLC37A1	Missense	COAD
SLC44A5	Missense	COAD
SLC4A10	Missense	COAD
SLC4A7	Missense	COAD
SLC5A6	Missense	COAD
SLC6A11	Missense	COAD
SLC6A15	Missense	COAD
SLC7A9	Missense	COAD
SLC9A3	Missense	COAD
SLC9C1	Missense	COAD
SLC9C2	Missense	COAD
SLCO2A1	Missense	COAD
SLU7	Missense	COAD
SMAD2	Missense	COAD
SMAD4	Missense	COAD
SMC1A	Missense	COAD
SMC2	Missense	COAD
SMCHD1	Missense	COAD
SMG1	Missense	COAD
SNCAIP	Missense	COAD
SNX13	Missense	COAD
SNX33	Missense	COAD
SOGA1	Missense	COAD
SPEF2	Missense	COAD
SPG7	Missense	COAD
SPOCK3	Missense	COAD
SPPL2B	Missense	COAD
SRGAP3	Missense	COAD
SSBP3	Missense	COAD
STS	Missense	COAD
STXBP3	Missense	COAD
SUCLA2	Missense	COAD
SUN1	Missense	COAD
SUPT16H	Missense	COAD
SUV420H1	Missense	COAD
SYCP2	Missense	COAD
SYCP2L	Missense	COAD
SYNJ1	Missense	COAD
TBC1D9	Missense	COAD
TBC1D9B	Missense	COAD
TBCK	Missense	COAD
TBK1	Missense	COAD
TBL1XR1	Missense	COAD
TBX18	Missense	COAD
TBX2	Missense	COAD
TCEA2	Missense	COAD
TCERG1L	Missense	COAD
TDRD7	Missense	COAD
TECRL	Missense	COAD
TEK	Missense	COAD
TET1	Missense	COAD
TFDP1	Missense	COAD
TFDP2	Missense	COAD
TGFBR1	Missense	COAD
THBS1	Missense	COAD
TIAM1	Missense	COAD
TJP1	Missense	COAD
TLE1	Missense	COAD
TLK1	Missense	COAD
TLN1	Missense	COAD
TMEM132E	Missense	COAD
TMEM63B	Missense	COAD
TMPRSS11D	Missense	COAD
TNFRSF21	Missense	COAD
TNKS2	Missense	COAD
TNNT2	Missense	COAD
TNRC6A	Missense	COAD
TOX	Missense	COAD
TPP2	Missense	COAD
TREH	Missense	COAD
TRIM37	Missense	COAD
TRIP11	Missense	COAD
TRPC4	Missense	COAD
TRPC6	Missense	COAD
TRPV2	Missense	COAD
TSHZ2	Missense	COAD
TSPAN7	Missense	COAD
TTC37	Missense	COAD
UBE3C	Missense	COAD
UGGT1	Missense	COAD
ULK1	Missense	COAD
UNC5A	Missense	COAD
UNC5D	Missense	COAD
UNK	Missense	COAD
USP15	Missense	COAD
USP28	Missense	COAD
USP34	Missense	COAD
USP43	Missense	COAD
USP7	Missense	COAD
USP9X	Missense	COAD
UTP14A	Missense	COAD
VANGL2	Missense	COAD
VAV1	Missense	COAD
VPRBP	Missense	COAD
VPS13A	Missense	COAD
VWA3B	Missense	COAD
VWF	Missense	COAD
WBSCR17	Missense	COAD
WDFY3	Missense	COAD
WNK3	Missense	COAD
WRN	Missense	COAD
XPO1	Missense	COAD
XPR1	Missense	COAD
XRCC1	Missense	COAD
XRN1	Missense	COAD
XRN2	Missense	COAD
ZAP70	Missense	COAD
ZBTB16	Missense	COAD
ZBTB7A	Missense	COAD
ZC3H12A	Missense	COAD
ZFAT	Missense	COAD
ZFYVE26	Missense	COAD
ZHX1	Missense	COAD
ZMYM4	Missense	COAD
ZMYM6	Missense	COAD
ZNF20	Missense	COAD
ZNF385A	Missense	COAD
ZNF407	Missense	COAD
ZNHIT6	Missense	COAD
ZRANB3	Missense	COAD
ZSWIM6	Missense	COAD
ZYG11A	Missense	COAD
AHCTF1	LoF	STAD
ARHGAP35	LoF	STAD
ARID1A	LoF	STAD
ARID2	LoF	STAD
ATP2B1	LoF	STAD
BCOR	LoF	STAD
BRWD3	LoF	STAD
CCDC66	LoF	STAD
CDH1	LoF	STAD
COL19A1	LoF	STAD
COL25A1	LoF	STAD
COL5A2	LoF	STAD
DDX43	LoF	STAD
DOCK11	LoF	STAD
ELL2	LoF	STAD
EPHA4	LoF	STAD
EXOC7	LoF	STAD
FAM49A	LoF	STAD
FBXW7	LoF	STAD
HECW1	LoF	STAD
KDM5A	LoF	STAD
LCP2	LoF	STAD
NEMF	LoF	STAD
NETO1	LoF	STAD
NOL6	LoF	STAD
PCF11	LoF	STAD
PIK3R1	LoF	STAD
PRTG	LoF	STAD
PUM2	LoF	STAD
ROCK1	LoF	STAD
SLC6A4	LoF	STAD
TCF20	LoF	STAD
TEX15	LoF	STAD
VPS13C	LoF	STAD
ABCA3	Missense	STAD
ABCA4	Missense	STAD
ABCB10	Missense	STAD
ABCC2	Missense	STAD
ACACA	Missense	STAD
ACADSB	Missense	STAD
ACCSL	Missense	STAD
ADAD1	Missense	STAD
ADAMTS12	Missense	STAD
ADAMTS16	Missense	STAD
ADAMTS18	Missense	STAD
ADAMTS20	Missense	STAD
ADARB1	Missense	STAD
ADCY5	Missense	STAD
ADCY6	Missense	STAD
ADGRB3	Missense	STAD
ADGRL1	Missense	STAD
ADGRL4	Missense	STAD
ADRBK1	Missense	STAD
AGO1	Missense	STAD
AKAP6	Missense	STAD
ALDH18A1	Missense	STAD
ALDH1A3	Missense	STAD
ALDOC	Missense	STAD
AMICA1	Missense	STAD
AMMECR1L	Missense	STAD
ANKRD13B	Missense	STAD
ANO1	Missense	STAD
ANTXR1	Missense	STAD
AP4E1	Missense	STAD
APBB1IP	Missense	STAD
ARFGEF2	Missense	STAD
ARHGAP5	Missense	STAD
ARHGEF2	Missense	STAD
ARID2	Missense	STAD
ASAP3	Missense	STAD
ASB11	Missense	STAD
ATM	Missense	STAD
ATP13A1	Missense	STAD
ATP1A2	Missense	STAD
ATP2B4	Missense	STAD
ATP6V0D1	Missense	STAD
ATP8A2	Missense	STAD
ATP8B4	Missense	STAD
ATP9A	Missense	STAD
ATR	Missense	STAD
AXIN1	Missense	STAD
BAZ1B	Missense	STAD
BAZ2A	Missense	STAD
BECN1	Missense	STAD
BMP3	Missense	STAD
BMPR1A	Missense	STAD
BNC1	Missense	STAD
BRD1	Missense	STAD
BTAF1	Missense	STAD
C19orf44	Missense	STAD
C1orf101	Missense	STAD
CACNA1C	Missense	STAD
CACNA1G	Missense	STAD
CACNB2	Missense	STAD
CAD	Missense	STAD
CAMSAP2	Missense	STAD
CCDC37	Missense	STAD
CCT8	Missense	STAD
CD69	Missense	STAD
CD81	Missense	STAD
CDAN1	Missense	STAD
CDC73	Missense	STAD
CDH1	Missense	STAD
CDH2	Missense	STAD
CDH9	Missense	STAD
CDON	Missense	STAD
CELSR1	Missense	STAD
CES2	Missense	STAD
CHD4	Missense	STAD
CHD5	Missense	STAD
CHD6	Missense	STAD
CHRNB4	Missense	STAD
CHSY3	Missense	STAD
CLCN4	Missense	STAD
CLCN6	Missense	STAD
CLCNKB	Missense	STAD
CLIP3	Missense	STAD
CLSTN1	Missense	STAD
CNBD1	Missense	STAD
CNGB3	Missense	STAD
CNOT1	Missense	STAD
CPA1	Missense	STAD
CPB2	Missense	STAD
CPSF1	Missense	STAD
CRYBG3	Missense	STAD
CSNK2A1	Missense	STAD
CSNK2A2	Missense	STAD
CTSW	Missense	STAD
CUL9	Missense	STAD
CYP26A1	Missense	STAD
CYP2A13	Missense	STAD
CYP7B1	Missense	STAD
DCSTAMP	Missense	STAD
DCTN1	Missense	STAD
DDB1	Missense	STAD
DENND1A	Missense	STAD
DENND4B	Missense	STAD
DENND4C	Missense	STAD
DEPDC5	Missense	STAD
DGKZ	Missense	STAD
DHX36	Missense	STAD
DHX8	Missense	STAD
DIP2C	Missense	STAD
DIS3L2	Missense	STAD
DLD	Missense	STAD
DNMT3B	Missense	STAD
DPP6	Missense	STAD
DRC7	Missense	STAD
DSC2	Missense	STAD
DYRK1A	Missense	STAD
DZIP1L	Missense	STAD
ECHS1	Missense	STAD
EDIL3	Missense	STAD
EDRF1	Missense	STAD
EEF2	Missense	STAD
EFCAB1	Missense	STAD
EFHC1	Missense	STAD
EHMT1	Missense	STAD
ELMO1	Missense	STAD
EPB41	Missense	STAD
EPB41L4B	Missense	STAD
EPG5	Missense	STAD
EPHA10	Missense	STAD
EPHA2	Missense	STAD
EPHA3	Missense	STAD
EPHA4	Missense	STAD
EPHA7	Missense	STAD
EPHB1	Missense	STAD
ERBB2	Missense	STAD
ERBB3	Missense	STAD
ERBB4	Missense	STAD
ERN2	Missense	STAD
ESPL1	Missense	STAD
ESRP1	Missense	STAD
EVC	Missense	STAD
EXOC3L1	Missense	STAD
EXOSC10	Missense	STAD
F2	Missense	STAD
FAM120C	Missense	STAD
FAM13C	Missense	STAD
FAM184A	Missense	STAD
FAM21A	Missense	STAD
FBXW5	Missense	STAD
FBXW7	Missense	STAD
FEM1C	Missense	STAD
FER	Missense	STAD
FGD4	Missense	STAD
FGG	Missense	STAD
FIBP	Missense	STAD
FLII	Missense	STAD
FLNC	Missense	STAD
FOXF1	Missense	STAD
FOXN1	Missense	STAD
FRYL	Missense	STAD
FSCN1	Missense	STAD
FTSJ3	Missense	STAD
FYN	Missense	STAD
GABRB3	Missense	STAD
GALNT18	Missense	STAD
GALNT8	Missense	STAD
GBA	Missense	STAD
GLB1L3	Missense	STAD
GLCCI1	Missense	STAD
GLI3	Missense	STAD
GLRB	Missense	STAD
GNPTG	Missense	STAD
GPR162	Missense	STAD
GRID1	Missense	STAD
GRIK3	Missense	STAD
GRIK5	Missense	STAD
GRIN3A	Missense	STAD
GRM2	Missense	STAD
GRM5	Missense	STAD
GRPR	Missense	STAD
GTPBP1	Missense	STAD
GUCY2D	Missense	STAD
GUSB	Missense	STAD
HCFC1	Missense	STAD
HCN1	Missense	STAD
HEATR1	Missense	STAD
HECW1	Missense	STAD
HELB	Missense	STAD
HEPHL1	Missense	STAD
HGF	Missense	STAD
HIATL1	Missense	STAD
HIRA	Missense	STAD
HK2	Missense	STAD
HSD17B12	Missense	STAD
HTR3B	Missense	STAD
HTR7	Missense	STAD
IARS	Missense	STAD
IGDCC4	Missense	STAD
IGF2R	Missense	STAD
IGSF10	Missense	STAD
IKZF4	Missense	STAD
INTS3	Missense	STAD
IRAK2	Missense	STAD
IRF2	Missense	STAD
IRX1	Missense	STAD
ITGAV	Missense	STAD
ITPR3	Missense	STAD
JAG1	Missense	STAD
JPH2	Missense	STAD
KCNH1	Missense	STAD
KCNH2	Missense	STAD
KCNH8	Missense	STAD
KCNJ3	Missense	STAD
KDELC1	Missense	STAD
KDM5A	Missense	STAD
KHDRBS2	Missense	STAD
KIAA0232	Missense	STAD
KIAA1217	Missense	STAD
KIAA1324L	Missense	STAD
KIAA1467	Missense	STAD
KIF14	Missense	STAD
KL	Missense	STAD
KLHL1	Missense	STAD
KLHL18	Missense	STAD
KMO	Missense	STAD
KPNB1	Missense	STAD
KRT6C	Missense	STAD
LHX2	Missense	STAD
LILRA5	Missense	STAD
LILRB5	Missense	STAD
LMBRD1	Missense	STAD
LMOD3	Missense	STAD
LPIN2	Missense	STAD
LPP	Missense	STAD
LRFN1	Missense	STAD
LRFN5	Missense	STAD
LRP5	Missense	STAD
LRP8	Missense	STAD
LRRC7	Missense	STAD
LRRTM3	Missense	STAD
LVRN	Missense	STAD
LZTR1	Missense	STAD
MADD	Missense	STAD
MAGEB18	Missense	STAD
MAGI2	Missense	STAD
MAGI3	Missense	STAD
MAMDC2	Missense	STAD
MAP2K1	Missense	STAD
MAP3K4	Missense	STAD
MAPK8IP3	Missense	STAD
MAT1A	Missense	STAD
MATN2	Missense	STAD
MBOAT1	Missense	STAD
MBTPS1	Missense	STAD
MCM6	Missense	STAD
MDC1	Missense	STAD
MDGA1	Missense	STAD
MDGA2	Missense	STAD
MED12L	Missense	STAD
MED13	Missense	STAD
MEGF10	Missense	STAD
MEGF8	Missense	STAD
MEN1	Missense	STAD
MICAL2	Missense	STAD
MIP	Missense	STAD
MLK4	Missense	STAD
MMEL1	Missense	STAD
MMP14	Missense	STAD
MPP4	Missense	STAD
MPP6	Missense	STAD
MRC1	Missense	STAD
MSH6	Missense	STAD
MST1R	Missense	STAD
MTOR	Missense	STAD
MYBPH	Missense	STAD
MYH7	Missense	STAD
MYL2	Missense	STAD
MYOM2	Missense	STAD
NALCN	Missense	STAD
NEFL	Missense	STAD
NF1	Missense	STAD
NFASC	Missense	STAD
NLGN3	Missense	STAD
NMT2	Missense	STAD
NOL6	Missense	STAD
NOTCH1	Missense	STAD
NOTCH4	Missense	STAD
NPC1	Missense	STAD
NPC1L1	Missense	STAD
NPY1R	Missense	STAD
NRP2	Missense	STAD
NTNG1	Missense	STAD
OAS3	Missense	STAD
OCA2	Missense	STAD
OCRL	Missense	STAD
OLR1	Missense	STAD
OTOF	Missense	STAD
P2RX5	Missense	STAD
P2RX6	Missense	STAD
PAK2	Missense	STAD
PARP12	Missense	STAD
PARP14	Missense	STAD
PARP2	Missense	STAD
PCDHAC1	Missense	STAD
PCNX	Missense	STAD
PCSK5	Missense	STAD
PCSK7	Missense	STAD
PDE3B	Missense	STAD
PDS5A	Missense	STAD
PDZD2	Missense	STAD
PER2	Missense	STAD
PFKP	Missense	STAD
PHF3	Missense	STAD
PHKA2	Missense	STAD
PIK3C3	Missense	STAD
